story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"On May 15th, 2017 I was in an ATV accident resulting in a surgery to
  place a plate and screws into my leg. On July 1st a severe bone
  infection was discovered and treatment with IV antibiotics began. I
  was then transported from a hospital in Pagosa Springs, CO to San Juan
  Regional Medical Center in Farmington, NM. Since my initial operation
  on May 15th, she has had 9 operations and will have at least 3 more. The first was to clean the wound. The second was a follow-up surgery
  to ensure maximum cleanliness. After a couple of days, the doctor
  noticed a blister that forming on my wound so he preformed another
  operation. This time, to remove the plate and 8 screws that had gotten
  infected. The doctors later found that my bone had started getting
  infected where the hardware was initially placed so they performed
  another surgery to put an antibiotic rod in her bone meant to treat my
  inner bone infection. The last 9 months have been some of the most physically painful days
  I’ve ever had to face to date and I will need additional surgeries to
  get a bone graph and to remove this external fixator that I currently
  have on my right leg. I will have to wear this fixator for 8 more
  months to ensure my leg heals correctly. It has been painful both
  mentally and physically. This would've been my 8th year as a wildland firefighter, which is a
  major source of my primary income. I am and be unemployed until my
  recovery is complete. The monies being raised are to assist my family with gas, food, and
  lodging as they travel three hours each way to and from Dulce, NM to
  Albuquerque, NM for additional appointments as well as surgeries. They
  will also assist myself with bills as I am unable to work during my
  recovery period. I am a member of the Jicarilla Apache Nation and International
  Indigenous Youth Council. I defended the water for several weeks in
  Standing Rock, ND and recently completed a lengthy art project for
  Honor the Earth. Any support to help me as I recover this period is
  greatly appreciated. Please help me get back on my feet so I can help
  my brothers and sisters to protect this land and help our native
  communities. Thank you, Kris.",932,of $2k goal,https://fundrazr.com/51L9Q5,Help get Kris back on her feet.,13,,U.S. Dollar
"Brad and Jessica had their whole future planned.  He proposed to her
  in Punta Cana and were finalizing the plans of their September
  wedding.  Brad is a manager and known to be a dedicated hard worker in
  his fathers company, Abell Custom Marine.  Jessica is an office
  manager and surgical technician.  This beautiful young couple
  purchased a home together and had big plans for their new life
  together.....that all changed in an instant on April 14th when they
  were involved in a devastating automobile accident. Brad and Jessica were on their way back to Maryland from Ohio when a
  semi truck and trailer ran a stop sign causing Brad and Jessica's SUV
  to TBone the trailer head on. They were pinned under a trailer 
  carrying steel beams for over an hour until first responders could
  extract them.  The pictures are horrific and hard to look at it.  But
  it's the only way to see how truly lucky they were. It is a miracle they survived such a violent accident and their road
  to recovery is a long one...but at least they have a road.  Everyone
  who knows them feel truly blessed that somehow their lives were spared. Brad, an active outgoing young man,  suffered multiple compound
  fractures in both arms, shattered elbow, a fractured foot,  a severe
  concussion, multiple deep facial lacerations and almost every bone in
  his face is fractured.  He has already endured 2 extensive surgeries
  and more are scheduled. He will need facial reconstruction surgeries. 
  Jessica, can only be described as someone who can light up the darkest
  day has a fractured vertebrate, fractured cheek, multiple lacerations
  and head trauma.  She is improving every day but has a long ways to go. This fundraiser is set up to raise funds to help Brad and Jessica
  with their expenses during their long road to recovery.  Brad and
  Jessica's  severe and incapacitating injuries will prevent them from
  returning back to work anytime in the foreseeable future.  They both
  will have to extensive rehab and therapy. Our goal is to raise enough funds to cover their mortgage payment,
  living expenses and assistance for the next 12 months.  We want Brad
  and Jessica to only concentrate on their recovery and not worry about
  how they will pay their bills or if they will lose their home.  Any
  funds leftover will go towards medical, rehabilitation and physical
  therapy bills that are growing at an alarming rate. We are also planning a live fundraiser at a date to be determined to
  help us reach our goal. Please consider donating today.  Please share with family and friends! .....and please count your blessings and be thankful for every happy
  and healthy day you have as you never know what tomorrow will bring. #abellstrong Funds from this fundraiser will be managed by Brad's father Jeff
    Abell and Jessie's Mom Dawn Connell. All funds will go strictly to
    only paying expenses for Brad and Jessica.  For questions or
    additional information please email: bradandjessfund@gmail.com Checks can be mailed
    to P. O. Box 114 Edgewater MD 21037","20,212",of $25k goal,https://fundrazr.com/bradandjess,Please Help Brad & Jessica With Their Recovery!,53,,U.S. Dollar
"In July 2014, 2-year-old Eve McGonigle was diagnosed with an
  extremely rare and life-threatening brain tumour called Ependymoma.
  After weeks of mis-diagnosis, Eve was extremely ill, struggling to
  walk, talk or even eat. The life was sucked out of her and it was
  agonising to see the once mischevious and adorable toddler struggling
  to survive. Eve's condition drastically deteriorated and after a visit
  to the Borders General Hospital was rushed to Edinburgh's Sick Kids
  for emergency treatment after a brain scan determined the unthinkable.
  This was truly devastating and soul destroying for Eve's family who
  could only rally around and pray for a miracle, whilst Eve lay almost
  unrecognisable in a ward bursting with other young children fighting
  for their lives. Upon arriving at the hospital, Eve was taken in and cared for by the
  magical staff and nurses of Ward 7. The procedures and life-saving
  treatment that Eve required were terrifying for both Eve and her
  family, however the miraculous nurses and medical staff were
  constantly on hand 24 hours a day to help with their calming and
  loving nature, somehow helping to make the six week stint in a stark
  hospital bed bearable. These people dedicate their lives to ensure the
  young children that enter the ward have the very best chance of making
  it out in full health, so we want to give something back. EVEolution has been set up to help the staff and patients of Ward 7
  to improve the facilities on the ward to allow children fighting this
  deadly disease and their families find some sort of comfort and solace
  throughout this stressful time. If you would like to help us make a difference we would be forever
  grateful knowing that with your generous support we have made a
  difference to help future children like Eve and their families having
  to battle through this terrifying experience. When you are smacked in
  the face with a heartbreaking matter such as Eve's we know it would
  make a difference to find a little more comfort in an alien environment. We will keep you up to date with projects on our twitter and Facebook page. Thank you, thank you, thank you. @eveolution facebook.com/eveolutionUK","15,682",of £20k goal,https://fundrazr.com/Eveolution,Eveolution,133,,Pound Sterling
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",335,of $400 goal,https://fundrazr.com/31Li2f,"This is a birthday gift, help me keep the secret:)",8,"May 27, 2018",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",190,of $349 goal,https://fundrazr.com/d1Lmu7,Help me get Enchroma glasses,5,"May 31, 2018",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",406,of $349 goal,https://fundrazr.com/41Lr76,Kevin Thank You Gift!!,21,,U.S. Dollar
"Hello, We are a group of Victor's family and friends and we are trying to
  help him raise funds to finance a trip overseas, to attend a medical
  centre that specializes in Stem Cell Treatments. The exact centre and
  the exact treatment are yet to be determined.This will depend on the
  amount of funds raised. There are many variables involved in this type
  of treatment, each with their own respective cost. An example would
  be, an Autologous  transplant (collecting a patient's own
  blood-forming stem cells), versus an Allogeneic transplant (collecting
  stem cells from a matching donor). Fortunately, it's a very hopeful
  time for people suffering from Multiple Sclerosis and other
  Auto-Immune diseases. There have been many success stories (some of
  which you can view on YouTube). This type of treatment is becoming
  mainstream in many countries around the world. Sadly for Victor,
  Canada is still in its developmental stage. Please take a moment and read a little bit about Victor's life and
  his battle with MS. If you can financially manage a small donation, it
  would be truly appreciated. A donation can be made right from this
  page. Victor will receive 95% of the funds, and this wonderful website
  will receive 5%. Whether you can donate or not, please be so kind as
  to pass this page along, via email or social media, to as many people
  as you can.  We thank you and are grateful for your support. Most of you visiting this fundraising page already know Victor, but
  for those of you who don't please let me introduce him. Victor is 59
  years old and has been fighting an uphill battle with Multiple
  Sclerosis for 26 years. It has been quite a battle but he has always
  fought with courage and grace.  Victor first felt the symptoms of MS
  shortly after completing his first and only triathlon.  Soon after
  that race, he was eager to begin training in hopes of improving upon
  his time in the next race. It was then that the symptoms hit him, and
  they had an immediate and devastating effect.  He went from running 17
  miles a day to not being able to run one block. In 1984, just after completing college, Victor found employment with
  the CIBC in the Savings Application Department as a Programmer. Two
  years later he transferred to Host Facilities as a Programmer.  His
  talents were recognized  and he was promoted to manage a group of 7
  programmers. His team was the infrastructure and the bank's
  applications ran on their software. Victor was prepared to leave the bank due to his MS in 1999 when the
  logistics of getting to work became difficult, but in the year 2000,
  (potential Y2K crisis) he stayed on to ensure all applications ran
  smoothly. Victor left his managerial position shortly after this
  period and is now supported, in part, by longterm disability benefits. In 2010, Victor, his wife Michelle and his brother Tony, all went to
  Egypt to have the CCSVI (Chronic Cerebrospinal Venous Insufficiency) -
  Liberation treatment.  As you can imagine it was a quite an expensive
  endeavor. The physical benefits Victor experienced were remarkable but
  some affects were short lived. At that point, in 2010, Victor hadn't
  been able to move his right leg for many years. Amazingly, just a few
  hours after doctors placed catheters and balloon inflation into his
  collapsed and blocked veins, Victor was able to raise that same leg
  into the air.  When he returned home we could all see improvement and
  thought he was on his way to recovery.  Even his horrific Trigeminal
  Neuralgia pain was greatly reduced. Trigeminal Neuralgia
    is considered to be one of the most painful afflictions known.
    It is characterized by episodes of excruciating stabbing or
    electrical shock-like pains which hit one side of the face. The
    episodes of pain usually last up to two minutes and may occur
    spontaneously or be triggered by light stimulation. Victor has
    endured this affliction daily for over a decade. The CCSVI results lasted for approximately one year.  We believe the
  vein in his neck collapsed and became blocked once more. Due to the
  delicate nature of veins (as opposed to arteries), stents cannot be
  used. There is a risk of the stent becoming dislodged, migrating along
  the blood vessels and becoming lodged in the heart or lungs. Prior to the MS, Victor lived a very healthy lifestyle and continues
  to do so today. Beginning day one, Victor has not benefitted with any
  traditional medicine for his symptoms. In fact all prescribed options
  to manage pain only exacerbated his leg weakness. Research has since
  determined that as varied as MS symptoms may present so too are the
  outcomes with medication for Primary Progressive Multiple Sclerosis.
  To support his wellness, Victor employs various holistic forms. Some
  of the modalities include: Hyperbaric Oxygen treatments; Live Blood
  Cell Analysis; Reichian therapy; Homeopathy; Naturopathic Medicine; as
  well as following a strict diet and supplement regime. The financial
  impact has been staggering, but Victor attributes his longevity to
  these natural treatments. The driving force that gives Victor strength to endure this battle is
  his love for his family; his wife Michelle, daughter Simone, and son
  Kristian. He once stated to me that if he were able to go back in
  time, he would gladly suffer MS again if it meant he could spend his
  life with Michelle, and participate fully with their children while
  they strive to achieve their own personal and professional
  aspirations.  Victor is proud that both Simone and Kristian are
  excelling in university with a shared goal to positively impact
  healthcare for others. In the bottom left-hand corner of the above profile photo, there is a
  link to additional photos. Please feel free to have a glimpse at the
  amazing life Victor has lived, and is living. We, Victor's friends and family, thank you!","28,579",of $40k goal,https://fundrazr.com/fundvictor,Help Victor Beat MS with Stem Cell Transplantation,139,"Jul 6, 2018",Canadian Dollar
"Smart, beautiful, loving, and caring. This is Marius! Since the age of 18, Marius was passionate about school, especially
  math and economics, going to school was the one thing he really wanted
  to do. Marius was so committed to his goals that he worked every day
  to earn the money he needed to go to college; he was determined not to
  just go to school, but to earn a Master’s degree in accounting. When
  he was done with school he planned on opening up an accounting office. Marius’s dream came to a screeching halt in 2016 when he was
  diagnosed with a serious illness. He suddenly found himself at the
  mercy of the medical establishment and as found that his employer
  would not accommodate the time Marius needed off from work to get
  treatment, so he lost his job. Even with this, Marius was not a quitter; his finals for his Master’s
  degree were right around the corner. Even though Marius felt dejected
  and his health was failing he finished his degree with honors. After completing his degree, and with renewed hope Marius set out to
  fight the illness that was ravaging his body, just like he had set out
  to go to school and get his degree. As he saw various doctors, it
  became clear that the prognosis was not good and that he needed to
  have surgery to stop the spread of the disease, which now had a name,
  cancer. Though Marius had never smoked and was not a drinker, he had
  Oral Cancer and only a radical surgery could save him. People often believe that you can’t get Oral Cancer unless you smoke,
  chew tobacco, drink excessively or have other lifestyle risk factors,
  but the American Cancer Society says 35% of the people who get this
  type of cancer have no risk factors. That means of the 100,000 people who get Oral Cancer every year, many
  never even imagined they could get the disease, because they weren’t
  doing any of the things they believe cause cancer. Men are also
  disproportionately affected by oral cancer with twice the risk for the
  disfiguring disease as women. Cancer is such a pervasive disease that almost everyone knows someone
  who has faced the disease. Our campaign “Save a Life Today -
    Marius Needs A Hero” is raising money needed to halt the
  rapid advance of cancer. One of the battles patients face with this cancer is that insurance
  does not always cover all of the surgery. Marius is facing this
  situation and as a young recent college graduate, with no income, he
  has to find a way to pay for his treatment. Already he has sought out
  every option for free treatment, but he has not found a program he
  qualifies for. In fact most options require him to be in the final
  stages of cancer where death is imminent to get help. The money that we hope to raise will cover the entire costs of
    surgery and treatment plan. This treatment plan includes full
    surgical removal of the cancerous cells and will also remove all of
    Marius’s teeth. Then, the reconstruction of Marius’s mouth and face,
    including implanting 14 teeth. Completing this surgery quickly will
    mean that Marius can avoid radiation and chemo therapy. If you ever wanted to be someone’s hero, YOU CAN, right now for
  Marius!  Instead of making a donation to a large organization where
  you hope it will help someone, you will be able to see the progress
  Marius makes as see how much of an impact your donation makes. You
  will be able to have a direct and positive impact on Marius’s life and
  help him move on from cancer into being a productive contributing
  member of society. Make a change in Marius’s lifer NOW and click on that donate button ! To thank everyone for their support and care, Marius will be sending
  every one of his donors a copy of the novel he wrote called “Unspoken
  Words”. Right now Marius’s book has touched many lives and he has more
  than 10,000 5 star reviews. Help Marius to keep touching lives, but donating and sharing Marius’s
  Fundraising link on Facebook, Twitter and all of your other social
  media. Every Share will be a chance that another person with big heart
  , LIKE YOU , to make a donation and his life to be save it! WE CAN AND HAVE THE POWER TO SAVE MARIUS`S LIFE! Everyone has
    a role to play. You make a difference. Marius need a hero and YOU
    CAN BE HIS HERO! Any donation will be greatly appreciated!","13,163",of $20k goal,https://fundrazr.com/marius-needs-a-hero,Save A Life Today - Marius Needs A Hero,22,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",130,of $349 goal,https://fundrazr.com/71LpBa,Help me get Enchroma glasses,5,,U.S. Dollar
"This is a unique open collaboration between the TwinsUK team at King's College London and The
      American Gut Project (AGP) to try to understand the bacterial
    diversity of the British Gut . Many people don't realize that the bacteria that live inside us play
  an incredibly important role in our health. There are so many of them,
  that they make up 90 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"". We
  evolved together with our microbiome over millions of years. Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe and, with your help,
  we will be able to discover more about the crucial relationship
  between our health and our microbiome, and on a personal level, you
  will be able to discover the bacterial profile of your own gut. With
  your help, we hope to be able to answer questions such as 'How much
  does our choice of lifestyle and diet influence our microbiome, and
  can we alter our microbiome to make us healthier?' We are discovering that each person is very different and has their
  own unique microbiome. More research is needed to work out what
  constitutes a 'healthy' microbiome, and which combinations of bacteria
  should try and be avoided. In order to do this ambitious and
  much-needed project, we urgently need a large scale collection of
  human samples. Over 7 thousand people have already signed up in
  America already- but we need many more from UK Europe. The project mainly focuses on the gut as this is our main 'microbial
  home', however, the study will also look at oral, skin and (for women)
  vaginal communities as these areas of the body have problems such as
  tooth decay, gum disease, acne and infertility and may be influenced
  by the microbiome. What does it entail? First you need to sign up (see Perks on the right) and select your
  level of contribution to the project. Within three weeks, you will
  receive a kit in the mail together with detailed instructions on how
  to proceed. Shipping within the UK first class should be around £2.90,
  but we recommend taking the sample to the post office to get the
  proper postage. Getting the postage right on the first try is
  important since samples that spend a long time in transit will likely
  not produce the highest quality results. After you have returned your sample to us, the samples will be
  processed and analysed by the Knight Lab at University of California,
  San Diego and you will be provided with a list of the major groups of
  bacteria in your sample and the proportions in which they are found.
  We estimate that this will take around 3 months from the time your
  sample is scanned into our lab (but possibly longer) and once we
  provide you with your results, you will be able to see how your
  bacterial community compares to others in the study. From the diet and
  lifestyle information that you provide, we will also be able to show
  you how your results compare to other people who are within the same
  diet and lifestyle group as you (but having a very different result to
  them does not necessarily mean anything bad, it can just be that you
  have experienced slight lifestyle differences that mean that your
  bacterial profile is different). Please note that this is a scientific study, not a clinical or
      commercial project, and we will not be able to provide you with
      any clinical information/advice related to your microbiome profile. How will my sample be used? The British Gut project, like the American model, gives participants
  the opportunity to compare their personal microbiome profiles to
  family members, and other people both in the UK and abroad. Our
  project is based on the principles of 'access to all'. The data
  collected from the sample you provide will be shared anonymously both
  with participants and scientists, allowing many different scientific
  hypotheses and questions to be answered using your valuable sample. We look forward to working together on this new and exciting project.
  If you have any questions, email us at info@britishgut.org Tim Spector","553,579",,https://fundrazr.com/britishgut,British Gut,,,
